,RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31
42,1020,42,Fulton County,county,GA,GA,"Atlanta-Sandy Springs-Alpharetta, GA",13,121,1223.6792391088236,1227.3535209010288,1237.129665805788,1248.9826345358993,1262.4618105507332,1261.636365375966,1262.7712049195466,1266.1842305313226,1275.4987709188188,1284.3292084946554,1290.2131341898153,1294.0150914385442,1303.778659771427,1309.4948098737214,1324.2257130718745,1333.553674329586,1343.9457584477725,1349.9877855452976,1354.4778805042686,1365.9327978750996,1369.1578847939727,1371.7882475078995,1375.8346945662327,1380.0654910511912,1386.32505412388,1389.229823767994,1398.7088130561285,1406.1729911631126,1417.3324752426704,1424.6327667508249,1433.1582784174554,1435.2804269650626,1439.8788665150846,1445.421233848453,1453.7227957377631,1460.2185492760336,1462.4610247547425,1465.6840041851988,1474.0765430900888,1482.2281616203068,1491.547531271246,1498.396379647569,1510.6386687793756,1521.963477667039,1531.8447557468885,1538.0151169399362,1549.0672942898025,1553.9513178067702,1558.9595008644012,1557.395560408674,1562.5817276239022,1567.4514759641254,1573.373882197079,1578.6478381244406,1586.6674193226354,1590.670200733991,1597.1320182184295,1599.7844281232606,1607.8622164976816,1614.031978765415,1615.0378751718854,1602.6939956592817,1586.9374730613613,1577.7461896022182,1581.5130960298334,1588.0651405251385,1597.0689880596449,1608.166281429622,1620.019199630643,1630.4769744324606,1640.8253295475808,1651.6649161307846,1664.6936360601942,1688.4204176569476,1715.014608176534,1755.2215124658985,1798.2071301631509,1854.5451986116896,1901.415628529171,1933.240624528831,1952.2045560771412,1960.5811387230765,1970.1824715536482,1976.9369048209333,1986.2910284067718,1996.9117173043744,2011.038396450328,2032.5339593790368,2055.8943001926127,2073.719270828798,2080.0971719288063,2071.910089614778
58,2314,58,Gwinnett County,county,GA,GA,"Atlanta-Sandy Springs-Alpharetta, GA",13,135,1193.6104450425255,1197.420130816683,1200.5528204749069,1209.2899791017192,1217.4617885636633,1225.6124923734903,1234.7736380631868,1238.4150861504145,1241.0587062375266,1241.5342486072245,1248.2702493093784,1255.6369624201072,1260.632803653845,1263.3994461924815,1263.5926691675086,1268.1589508374561,1271.9608500923075,1277.5780040767231,1282.5124218905364,1286.4010265238426,1291.4884737311975,1295.2071701344407,1302.0657161315964,1311.5710005014294,1317.2460595270568,1325.1719439103067,1330.571739319858,1340.3369013014235,1347.1285631210933,1354.2424141154872,1364.3913159050467,1365.7888838830409,1365.018137424504,1363.944196540489,1374.9980345801487,1384.284724649229,1388.6991377740376,1389.564527918107,1399.0298978219455,1406.6759666387475,1415.5988016400079,1419.1947711941764,1427.036908626842,1431.9934242297284,1439.3781684634878,1444.6553660785128,1457.2398468720041,1458.7033340331036,1464.6954142065015,1463.9483704544384,1476.3241620064082,1478.9745539609505,1481.429627476823,1482.4288346606768,1489.9480123523556,1495.031465477951,1495.9639846910059,1497.1801749535946,1504.2495609433552,1510.6523541472147,1516.911015902862,1511.3609452112235,1505.8568306792292,1503.7037207577512,1514.0752366394809,1530.7638916758258,1550.0976664489176,1566.9282343195455,1581.2688945770215,1599.4401941237802,1613.273454499168,1637.5808665622858,1648.4561454047068,1674.5625787830195,1704.0304732101752,1751.0977667026443,1804.1816523711648,1860.1687750765886,1905.38280939751,1935.88574993216,1958.2551668015128,1971.1928668083328,1987.501914426776,1993.4832142883624,2006.3556434001453,1998.5171612111865,2000.4570095368792,2001.1883509375693,2016.745443287808,2025.1976204060898,2038.5216239898225,2047.8033884696767
84,135,84,Cobb County,county,GA,GA,"Atlanta-Sandy Springs-Alpharetta, GA",13,67,1131.5264056499502,1135.0184498811204,1140.7497686067745,1144.9998707130526,1152.4516490510973,1160.4098786497746,1170.3794536172045,1172.2137398149628,1175.6124292984566,1176.958783004165,1185.2385534425807,1190.8767050932572,1203.0558699002588,1206.5910866775546,1210.1114184158635,1207.5080248883555,1216.2330089429934,1222.1574283945174,1229.9933630062865,1231.735235407795,1231.9729808726127,1229.607225778815,1236.3967017200353,1245.0747121198347,1253.5915177003715,1257.9079298422494,1267.4645597464864,1281.554200320771,1287.2624465173785,1296.0243835107865,1305.2290945676425,1309.688218611665,1316.0804755841111,1313.1341011578213,1322.7560967426832,1322.4176614906082,1332.6741168660858,1338.7046459617175,1349.7454821406295,1347.3165297714784,1350.2515772222007,1357.1044071197632,1372.0705495667858,1378.1458244898213,1381.1146003409092,1387.063414259075,1396.7638352268486,1405.6350207037726,1409.5612097939154,1414.7027752279373,1419.386261653522,1425.1874555775207,1429.2947606277755,1437.9842043390188,1442.1241106627438,1447.0188350154067,1444.2484132433558,1449.33871611551,1450.6595377516342,1462.6213274573581,1464.831140148152,1458.5214349338116,1442.9048242115107,1441.9690677086694,1453.9224983809258,1476.7559938552606,1490.2730090542796,1506.9970895852352,1521.124974252589,1535.9633756629694,1545.0978991799439,1559.9240157240806,1579.1832895434545,1604.7146543323645,1633.6749626254095,1671.950578875965,1727.9806988184314,1783.1174354007724,1825.5686097482144,1857.1341510315713,1877.5431504842486,1898.2113883478519,1900.2027571461788,1897.7880539973214,1889.7470245278275,1887.5176865477035,1901.240578508596,1927.4919901259696,1953.2375944257544,1957.886346552637,1958.512787609212,1958.519494891652
85,984,85,Dekalb County,county,GA,GA,"Atlanta-Sandy Springs-Alpharetta, GA",13,89,1003.5709601193588,1006.5453090240708,1010.8594152061456,1014.0508280369136,1020.1239095829643,1025.7197644096102,1031.4996181473275,1035.837552479934,1041.3741561578654,1047.4013120037198,1056.6467306313004,1061.802167308075,1075.4750823861036,1078.7929491010627,1084.2834508948313,1083.3609413066113,1093.6458792568196,1097.0177089256574,1105.374844032732,1111.7218745275718,1122.6507194641194,1127.2673921759188,1134.7131802064282,1139.3827278316414,1149.138843693029,1153.8665897971491,1156.9287371470211,1162.2627389957188,1169.503532667108,1175.9462978834829,1182.0294081791792,1188.1461428138432,1191.7607218966411,1202.9383236301687,1210.973395882946,1221.2271140955056,1226.1991230444266,1234.40760887236,1237.5307476957946,1245.3786523606293,1248.6112026478704,1250.9956618606814,1257.4616877093358,1268.3617478375536,1283.3829303620355,1291.2990880645211,1302.160627864561,1309.0838950583784,1316.948675308046,1321.8907794228924,1324.3180803076261,1329.701009008945,1335.6610550897142,1342.3922553880873,1352.1994254883439,1358.959531655231,1356.5026247330313,1361.318452020092,1367.8776523539093,1382.3740602906064,1383.7191206917996,1383.8635431101804,1376.3511187417137,1374.4086591061225,1383.2492158475532,1401.5212658478908,1413.0945888388806,1423.6922327826114,1439.7856951539227,1460.168886649377,1472.6189926563213,1479.0569446541706,1494.1665190685892,1516.0612188723808,1546.2524586925213,1584.055871996589,1631.383776361597,1683.3007510200837,1724.068482143607,1760.2672035876776,1772.9946984039332,1793.3600526351127,1794.1836717304666,1816.820164270451,1818.4845269053872,1825.58517614745,1829.87960150303,1838.6503866373785,1855.1173794279807,1869.5691513647748,1885.752959674525,1892.7687641762411
239,1608,239,Chatham County,county,GA,GA,"Savannah, GA",13,51,1003.12967196615,1007.8490783531461,1005.7079072048723,1007.2878139920167,1011.6685456364737,1017.9003462730158,1027.1287305444791,1028.2790077064374,1028.4924339492843,1024.0289069425862,1028.0307945643551,1035.0525952153744,1048.2798653971934,1050.0458355799071,1048.8820303988198,1045.0465697143243,1054.3449802486696,1058.8809756149706,1059.9386394426872,1052.4278463159662,1047.1025635009046,1054.7312134887027,1063.4873613572406,1074.819092546722,1074.9510841925544,1079.6132424090836,1085.7984420514567,1087.0033400898958,1097.082074895497,1103.446560810404,1112.5043240160674,1111.262289339576,1107.6463291779278,1103.72323273527,1107.126198588932,1118.3753403106894,1118.9071444059891,1123.9459033858022,1119.1879670978904,1136.8307682317652,1145.6194209040525,1160.1501119268112,1153.2285548229006,1151.6490995672184,1145.7254642707608,1152.5919314929586,1159.0555564284273,1163.6527328267202,1174.2140081497591,1177.7493775660844,1188.1303923784274,1195.0281036131705,1202.932778399203,1204.7247434148132,1208.2675114383435,1207.0715721200052,1205.7570024822212,1202.51909792922,1208.7668257044454,1224.8616447634704,1246.3100797994502,1247.7203794066338,1237.4568461964068,1224.1321873368865,1231.373315989834,1237.5000835602325,1243.4389670860216,1249.0839560511688,1257.7821586892294,1266.4198461643628,1271.0577195455155,1273.4717046376695,1279.4176379793,1299.6217632395105,1334.964730415668,1379.6814902175586,1422.4499948003045,,1510.059985111134,1542.4520756965921,1552.2076617830544,1569.4763863756275,1577.866224469372,1589.6535046232605,1589.3539029665635,1598.4449314994079,1625.7767574767893,1661.5787569505874,1717.1095400506838,1747.2602407649345,1767.2047458684576,1760.5221284843494
242,1622,242,Clayton County,county,GA,GA,"Atlanta-Sandy Springs-Alpharetta, GA",13,63,883.7732497679092,892.5470186335722,893.125088899152,895.1860860074063,891.9550614305855,899.0679607285507,902.5670951027447,904.856005441966,904.504066558965,908.1983381989957,915.3514531958728,919.6558916515048,922.231084509796,925.4956292667433,929.6523223348288,938.3859134227047,940.5783366443234,947.1387283968056,949.1058171032628,955.0400190924563,954.6641379400819,962.0364093208116,971.3706349050847,982.3534473258977,983.7190600184308,977.2044382135804,983.0636731070308,984.8879263647588,992.5411350996452,995.9136829404252,1007.8216353589912,1015.8589295340338,1016.6959624346744,1017.7863926127341,1021.7481145439484,1027.2995797734086,1034.7734764000031,1042.1029847199798,1051.4295529644903,1058.482150458876,1064.4771900398464,1071.5276350232998,1076.1007325503438,1089.825309820772,1103.4342914264314,1113.8246128466703,1114.8553672239657,1111.471430890525,1117.8600090642033,1126.8554905373674,1135.301049978539,1138.0630652999198,1144.6010933564314,1150.2721846765082,1161.4602899830134,1169.6658313982232,1179.0993655274444,1185.8202369563721,1193.29422011754,1198.1858419319162,1207.8374913614493,1215.8034949049324,1229.5675586345913,1240.8322636355886,1240.9966386191056,1260.425697620988,1284.6390839559795,1319.3484882848902,1330.7643756798027,1336.1695779488593,1362.1495449830622,1388.959681229314,1417.0899760223251,1434.6628955770395,1465.1712862291752,1492.3080549534648,1526.677474729718,1559.1527651899958,1585.889970535774,1606.6804232320885,1629.723307326423,1652.6597164020943,1659.2006611887991,1670.0867363383686,1688.67235174951,1712.6549698971073,1727.9643994223763,1745.3249442831345,1767.7591373019773,1774.9230461272302,1778.9278016444282,1778.0677819238888
273,2188,273,Cherokee County,county,GA,GA,"Atlanta-Sandy Springs-Alpharetta, GA",13,57,1221.9061389854728,1231.4581409843781,1233.7983063006966,1241.5378806471115,1249.91687099857,1257.202677930397,1266.1479178247048,1270.9604776484825,1263.7517076404558,1263.9456614607484,1272.7906519343894,1285.8307669527576,1297.8927595629366,1300.4792876617284,1294.3982708311933,1293.4483847930985,1294.860443953661,1311.3757955150888,1316.9854575184465,1324.225028525554,1317.2874480441847,1313.6510343567975,1308.7870546280576,1321.4857282398602,1333.3903015403512,1348.897457900616,1354.8945216145164,1359.1572825663125,1368.8891665229348,1379.1661134217125,1392.095438026222,1390.7938747635058,1389.535002378091,1389.192770106779,1396.7119006849273,1408.7314326070832,1423.235343115211,1432.3819689706113,1440.6387807244141,1443.7754732024011,1443.9776623158095,1453.1661308952328,1453.5514618472068,1462.2259564061405,1456.904911976124,1471.3987716149356,1481.8481379641269,1491.5835331525989,1496.8789395335614,1504.165419271166,1515.1619181917126,1518.7197704334715,1520.8849866288324,1523.3679953711896,1533.1345663816685,1536.0793444817746,1539.1921708177535,1535.7452665048745,1536.6044326650956,1542.684171797424,1545.2649425323957,1550.8146276051293,1544.8721538417087,1550.5803209725077,1561.8103594968427,1573.706880037887,1598.408227242197,1611.7280347698959,1644.184675643025,1667.7244524406533,1689.7049313399805,1692.4202329393008,1706.0930387821868,1728.5547533079646,1762.2671492143163,1783.9760904672642,1835.2325190084134,1885.1416081544226,1940.0665492488326,1980.619586569081,1996.22214947406,1999.079175454648,2010.0170179352049,2031.477136699866,2048.544477040952,2044.996758656541,2052.7867297915686,2077.6147680741724,2106.634113411786,2125.5082906862644,2123.4080395574947,2107.85415200563
289,1711,289,Forsyth County,county,GA,GA,"Atlanta-Sandy Springs-Alpharetta, GA",13,117,1448.1831247296507,1452.2210546172885,1470.8354214662986,1486.05055679978,1493.6082367964184,1502.2524848889207,1507.6753447728283,1515.425865981546,1510.5988232779596,1508.8732410480625,1508.3900403510486,1520.1545632467373,1521.2140996757196,1519.7625023981009,1531.1719265139982,1546.0964730708606,1559.225253276497,1559.3268345309702,1553.4717148628306,1550.162055224179,1540.9765038513183,1533.9380217421437,1540.8987918806836,1558.699541427505,1574.0138324967588,1583.5339993049945,1597.5194713837625,1607.4542108905625,1611.8878016203294,1607.027737122137,1609.6211782834373,1607.7243134444168,1610.9785807144285,1609.240858052935,1617.6904817968966,1631.5905762746204,1642.2344937975747,1644.429613126635,1654.7627731680686,1659.1223760626685,1665.3789130236637,1661.6604087837338,1665.7775090567416,1664.7024017536855,1667.6420649418167,1662.1624400019186,1672.7534322349618,1688.773817676218,1709.955890554296,1727.2510808030688,1732.5535903379664,1731.5874310886727,1728.9130904816684,1718.9940547971894,1724.6038526216087,1727.9612000556344,1744.7093455041543,1730.6545829350628,1743.6207134725234,1756.666399452868,1782.1669131429612,1769.4643095348385,1755.6012231010113,1752.9076012231556,1754.4218333960998,1762.7693012283155,1781.3791017176218,1806.9532213917525,1815.647810115996,1816.6939877061386,1824.978978856359,1858.4793889353373,1886.3555403223004,1905.2685003311808,1935.5055191127688,1978.7271017903963,2017.0957823421675,2056.749482229416,2105.1562471027373,2167.512393164316,2192.4238733258208,2207.347392996831,2228.5522643485047,2246.6337387086533,2278.9492158319704,2286.554346408289,2323.3499927456282,2329.701642273514,2355.0625668438324,2363.887322664349,2372.6603987923104,2375.025778922385
297,553,297,Henry County,county,GA,GA,"Atlanta-Sandy Springs-Alpharetta, GA",13,151,1093.6302364308358,1099.8507015948069,1106.5255412243375,1111.8435091353222,1119.8396115206792,1121.4775682188915,1124.6478575489127,1129.3290966231782,1140.3544693889564,1147.2181276112494,1147.2216548744886,1148.2867105363216,1149.1757558359282,1161.770975344424,1166.8428436348206,1171.477354796511,1174.4063765087676,1180.9170711030074,1184.795522645162,1191.5689494373974,1192.2934536342266,1195.0113435958197,1186.4527445251927,1185.257658325952,1191.2978454695665,1208.914334750062,1218.9947285975145,1219.4036568536294,1221.7946090657624,1229.8808261718013,1239.5678232164926,1247.265214065036,1249.68921716684,1261.5378660917388,1268.9997113545394,1270.9689927469349,1268.2226059148095,1271.5795840011822,1292.9222094854995,1309.0929964424424,1319.3778122143476,1324.8007273388253,1324.7301451914598,1329.8625242468693,1331.5498173828425,1340.2793995373315,1343.7396546369796,1345.4109611459633,1352.5204595342188,1369.7656548194095,1377.0110665979507,1385.5626743040427,1388.8907252453744,1397.9659485437774,1403.766717007211,1417.3275681318705,1415.6355086899844,1422.4639896505316,1418.1459350890855,1429.475313958602,1435.7665857309923,1444.8930343529294,1454.727216399717,1470.1324096484734,1489.6874402074698,1523.8064371435903,1544.1314348931135,1572.1503072906753,1575.5076342704538,1604.6288488281216,1625.9216821934174,1661.7633361905566,1678.3268265330169,1697.8317978214584,1730.8768463821145,1760.4251748123856,1793.5626125316685,1819.6188289577594,1850.7269469338848,1882.8829114454943,1918.5155604086622,1941.3289321921307,1953.3062046812615,1961.711986014548,1970.9931930464554,1964.6938441137795,1979.8493794193193,1998.1621347203213,2038.648083501128,2034.3918346175708,2030.868834308493,2024.8318291505789
327,2509,327,Richmond County,county,GA,GA,"Augusta-Richmond County, GA-SC",13,245,814.7488976171051,825.650998070933,842.1738901675235,845.7492359581532,859.0879901930423,854.1476865733194,864.1982151026587,864.2975180027879,861.1747545653467,846.3013165910496,824.8627636738415,831.6272808032808,840.8895569141667,863.7918930104796,868.0236633210586,877.3266983453058,878.3078920843359,881.9188953881039,885.1057972703752,891.8193318014733,882.2861107215216,871.4294204754099,857.7710314181447,859.1398683330913,867.8466535150206,878.010102810019,890.4830911677814,893.8485585563393,896.3814629303713,899.6695457084853,908.5408673681427,909.3464717823218,906.8389982973614,900.0868438889476,895.7177465830624,885.9530994016081,893.4913967427226,905.6369175216004,928.195489857946,934.1800282254093,929.5144403449243,927.7352991717513,929.1938015887462,937.1777937479387,928.869825980396,925.6128175474057,917.7008205436623,928.5458766008845,933.1206998168357,951.4878191573027,963.4330219200932,974.0372834577587,974.7293687766354,973.27790553882,974.4795203159088,975.8671682553406,975.0031624087613,970.5652314265907,963.758562958512,968.9954081745677,977.5862469463451,991.222107181378,990.4410953749193,1000.0920675137137,1017.029128720728,1034.6071091562922,1052.0872053035066,1052.5132984686204,1058.8155733581184,1059.4715986572498,1060.8728045418559,1057.0072146909338,1059.46418424532,1077.6449950035746,1104.5111089756633,1133.282100096896,1161.9192573968248,1179.232651024519,1187.22864734963,1189.9791895500011,1201.5551774382886,1200.8006454367924,1198.3503674624085,1208.3496642385176,1222.5762953451047,1234.762093038144,1225.6183644202374,1234.2096226684448,1246.748799245524,1264.4656793212032,1270.8479322083006,1267.8003224619647
