,Unnamed: 0,RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31
0,42,1020,42,Fulton County,county,GA,GA,"Atlanta-Sandy Springs-Alpharetta, GA",13,121,1538.2,1539.69,1544.08,1553.43,1570.09,1571.29,1575.16,1580.12,1595.12,1611.67,1616.38,1619.81,1625.03,1624.45,1636.11,1642.24,1657.72,1663.64,1665.18,1677.17,1683.75,1686.43,1681.6,1681.48,1687.74,1686.27,1696.33,1703.84,1718.54,1722.24,1723.42,1727.06,1732.55,1740.25,1740.76,1740.64,1739.38,1736.31,1739.02,1745.86,1756.72,1763.8,1776.15,1786.31,1803.95,1817.02,1826.59,1824.64,1820.25,1808.85,1811.02,1816.3,1820.12,1826.31,1834.15,1834.59,1843.03,1847.77,1849.92,1851.95,1857.14,1855.35,1837.08,1816.5,1811.67,1813.46,1821.2,1833.1,1847.74,1857.92,1861.79,1863.88,1865.37,1876.54,1890.93,1917.45,1955.01,2012.1,2057.36,2074.56,2084.67,2087.2,2079.92,2068.16,2050.57,2050.09,2042.08,2035.94,2059.59,2078.18,2080.1,2063.54
1,58,2314,58,Gwinnett County,county,GA,GA,"Atlanta-Sandy Springs-Alpharetta, GA",13,135,1500.4,1502.14,1498.43,1504.06,1514.13,1526.43,1540.23,1545.47,1552.05,1557.96,1563.83,1571.77,1571.25,1567.27,1561.2,1561.71,1568.93,1574.41,1576.7,1579.51,1588.23,1592.28,1591.44,1598.03,1603.64,1608.52,1613.69,1624.06,1633.42,1637.14,1640.73,1643.44,1642.48,1642.15,1646.49,1650.13,1651.65,1646.14,1650.49,1656.87,1667.27,1670.57,1677.85,1680.71,1695.06,1706.72,1718.31,1712.8,1710.19,1700.31,1711.04,1713.78,1713.76,1715.0,1722.35,1724.28,1726.28,1729.26,1730.71,1733.33,1744.31,1749.62,1743.22,1731.25,1734.42,1748.02,1767.64,1786.09,1803.54,1822.55,1830.53,1847.99,1847.18,1861.14,1878.82,1912.95,1961.5,2018.2,2061.66,2077.4,2091.13,2098.5,2098.21,2085.47,2071.28,2051.74,2031.34,2004.54,2020.37,2029.55,2038.52,2039.53
2,84,135,84,Cobb County,county,GA,GA,"Atlanta-Sandy Springs-Alpharetta, GA",13,67,1422.36,1423.85,1423.79,1424.1,1433.28,1445.22,1459.91,1462.85,1470.2,1476.93,1484.87,1490.7,1499.49,1496.8,1495.12,1487.02,1500.19,1506.11,1512.14,1512.39,1515.04,1511.64,1511.18,1517.01,1526.15,1526.87,1537.16,1552.84,1560.83,1566.76,1569.58,1575.94,1583.59,1580.98,1583.93,1576.38,1585.02,1585.89,1592.35,1586.95,1590.3,1597.48,1613.23,1617.51,1626.44,1638.68,1647.0,1650.49,1645.81,1643.12,1645.05,1651.45,1653.45,1663.58,1667.07,1668.91,1666.61,1674.0,1669.05,1678.22,1684.42,1688.45,1670.34,1660.17,1665.51,1686.35,1699.42,1717.78,1734.94,1750.22,1753.17,1760.35,1769.55,1783.51,1801.25,1826.48,1878.66,1934.6,1975.3,1992.89,2004.94,2020.8,2006.04,1985.36,1950.9,1937.78,1930.59,1930.72,1956.74,1962.1,1958.51,1950.61
3,85,984,85,Dekalb County,county,GA,GA,"Atlanta-Sandy Springs-Alpharetta, GA",13,89,1261.52,1262.69,1261.67,1261.23,1268.7,1277.47,1286.67,1292.67,1302.32,1314.35,1323.77,1329.13,1340.47,1338.26,1339.66,1334.13,1348.98,1351.9,1358.93,1365.03,1380.6,1385.82,1386.89,1388.23,1398.98,1400.59,1403.1,1408.29,1418.05,1421.6,1421.43,1429.69,1434.0,1448.3,1450.08,1455.76,1458.38,1462.33,1459.96,1466.88,1470.59,1472.58,1478.47,1488.66,1511.35,1525.55,1535.45,1537.12,1537.68,1535.32,1534.87,1540.8,1545.13,1552.99,1563.11,1567.35,1565.35,1572.34,1573.81,1586.14,1591.15,1602.03,1593.3,1582.39,1584.55,1600.44,1611.41,1622.82,1642.17,1663.85,1670.93,1669.1,1674.29,1684.97,1704.86,1730.47,1773.64,1826.31,1865.47,1888.94,1893.3,1909.18,1894.12,1900.66,1877.33,1874.2,1858.13,1841.73,1858.45,1873.59,1885.75,1885.12
4,239,1608,239,Chatham County,county,GA,GA,"Savannah, GA",13,51,1260.96,1264.32,1255.24,1252.82,1258.19,1267.73,1281.22,1283.23,1286.21,1285.02,1287.92,1295.65,1306.58,1302.6,1295.92,1286.95,1300.51,1304.9,1303.07,1292.23,1287.69,1296.65,1299.84,1309.57,1308.67,1310.46,1316.84,1317.1,1330.23,1333.96,1337.82,1337.17,1332.79,1328.85,1325.73,1333.15,1330.78,1331.48,1320.35,1339.03,1349.29,1365.64,1355.92,1351.68,1349.24,1361.68,1366.71,1366.35,1371.02,1367.91,1377.03,1384.75,1391.58,1393.73,1396.73,1392.17,1391.4,1388.92,1390.74,1405.41,1433.14,1444.42,1432.51,1409.37,1410.58,1413.14,1417.94,1423.79,1434.58,1443.08,1442.22,1437.1,1433.65,1444.42,1471.9,1507.2,1546.48,1585.9,1633.91,1655.21,1657.53,1670.84,1665.75,1663.01,1640.79,1641.01,1650.87,1664.37,1720.19,1751.02,1767.2,1753.41
5,242,1622,242,Clayton County,county,GA,GA,"Atlanta-Sandy Springs-Alpharetta, GA",13,63,1110.93,1119.68,1114.72,1113.4,1109.3,1119.73,1125.84,1129.21,1131.16,1139.67,1146.75,1151.2,1149.47,1148.1,1148.61,1155.6,1160.18,1167.2,1166.82,1172.65,1174.01,1182.69,1187.25,1196.91,1197.6,1186.15,1192.24,1193.37,1203.48,1203.96,1211.94,1222.38,1223.35,1225.39,1223.49,1224.59,1230.71,1234.52,1240.41,1246.74,1253.72,1261.32,1265.24,1279.11,1299.44,1315.88,1314.59,1305.08,1305.22,1308.79,1315.8,1318.74,1324.1,1330.73,1342.62,1349.02,1360.63,1369.64,1372.94,1374.8,1388.9,1407.47,1423.38,1428.6,1421.6,1439.32,1464.93,1503.88,1517.82,1522.55,1545.58,1567.42,1587.92,1594.51,1615.46,1630.24,1659.8,1691.61,1715.96,1724.13,1740.31,1759.39,1751.62,1747.15,1743.32,1758.26,1754.64,1748.25,1770.93,1778.74,1778.93,1770.88
6,273,2188,273,Cherokee County,county,GA,GA,"Atlanta-Sandy Springs-Alpharetta, GA",13,57,1535.97,1544.84,1539.92,1544.17,1554.49,1565.77,1579.37,1586.08,1580.42,1586.09,1594.55,1609.56,1617.7,1613.27,1599.26,1592.85,1597.17,1616.06,1619.08,1625.96,1619.96,1614.96,1599.65,1610.11,1623.29,1637.32,1643.19,1646.87,1659.81,1667.27,1674.04,1673.53,1671.98,1672.55,1672.49,1679.27,1692.73,1696.86,1699.58,1700.57,1700.69,1710.56,1709.03,1716.2,1715.7,1738.32,1747.33,1751.41,1747.77,1747.02,1756.06,1759.83,1759.4,1762.36,1772.27,1771.63,1776.17,1773.8,1767.94,1770.08,1776.91,1795.3,1788.38,1785.22,1789.1,1797.06,1822.73,1837.16,1875.3,1900.36,1917.25,1909.88,1911.76,1921.14,1943.03,1948.86,1995.26,2045.29,2099.18,2125.41,2131.67,2128.19,2121.98,2125.22,2114.84,2099.46,2084.47,2081.1,2110.42,2130.08,2123.41,2099.34
7,289,1711,289,Forsyth County,county,GA,GA,"Atlanta-Sandy Springs-Alpharetta, GA",13,117,1820.41,1821.78,1835.77,1848.29,1857.56,1870.96,1880.65,1891.16,1889.13,1893.44,1889.71,1902.88,1896.04,1885.3,1891.8,1903.98,1923.26,1921.62,1909.82,1903.37,1895.04,1885.77,1883.35,1899.13,1916.23,1922.12,1937.44,1947.73,1954.45,1942.74,1935.62,1934.56,1938.43,1937.48,1937.1,1944.93,1953.2,1948.06,1952.19,1954.22,1961.45,1955.99,1958.56,1953.84,1963.87,1963.69,1972.44,1982.95,1996.56,2006.13,2008.01,2006.49,2000.05,1988.68,1993.61,1992.93,2013.33,1998.93,2006.12,2015.6,2049.32,2048.42,2032.33,2018.17,2009.74,2012.96,2031.38,2059.69,2070.86,2070.11,2070.74,2097.27,2113.76,2117.55,2134.04,2161.61,2192.98,2231.48,2277.81,2325.96,2341.19,2349.91,2352.68,2350.3,2352.7,2347.45,2359.21,2333.61,2359.29,2368.97,2372.66,2365.43
8,297,553,297,Henry County,county,GA,GA,"Atlanta-Sandy Springs-Alpharetta, GA",13,151,1374.72,1379.74,1381.07,1382.86,1392.72,1396.73,1402.86,1409.34,1426.11,1439.61,1437.24,1437.39,1432.33,1441.2,1441.66,1442.65,1448.6,1455.29,1456.57,1463.07,1466.24,1469.1,1450.13,1444.13,1450.31,1467.4,1478.38,1477.53,1481.45,1486.8,1490.62,1500.83,1503.71,1518.86,1519.56,1515.05,1508.37,1506.37,1525.31,1541.93,1553.94,1559.46,1557.57,1560.84,1568.08,1583.41,1584.48,1579.77,1579.21,1590.92,1595.94,1605.53,1606.7,1617.29,1622.72,1634.66,1633.59,1642.96,1631.64,1640.18,1651.0,1672.68,1684.03,1692.6,1706.48,1740.08,1760.84,1792.04,1796.97,1828.46,1844.88,1875.28,1880.65,1887.0,1908.42,1923.14,1949.96,1974.21,2002.52,2020.52,2048.7,2066.71,2062.11,2052.23,2034.78,2017.01,2010.41,2001.51,2042.31,2038.77,2030.87,2016.65
9,327,2509,327,Richmond County,county,GA,GA,"Augusta-Richmond County, GA-SC",13,245,1024.16,1035.76,1051.13,1051.91,1068.43,1063.79,1077.98,1078.59,1076.97,1062.0,1033.39,1041.0,1048.09,1071.55,1072.46,1080.41,1083.37,1086.82,1088.14,1095.02,1085.01,1071.3,1048.4,1046.78,1056.53,1065.75,1079.96,1083.06,1086.88,1087.61,1092.55,1094.21,1091.17,1083.68,1072.58,1056.09,1062.68,1072.86,1095.03,1100.33,1094.76,1092.06,1092.51,1099.95,1093.87,1093.52,1082.11,1090.29,1089.52,1105.11,1116.61,1128.67,1127.59,1125.97,1126.48,1125.51,1125.12,1121.01,1108.85,1111.83,1124.13,1147.49,1146.56,1151.43,1165.04,1181.45,1199.74,1199.73,1207.65,1207.26,1203.74,1192.82,1187.18,1197.71,1217.81,1238.03,1263.23,1279.41,1284.6,1276.97,1283.09,1278.35,1265.1,1264.11,1262.14,1267.64,1244.54,1236.28,1248.99,1267.19,1270.85,1262.68
